cwnd, ssthresh, congestionEvent, no, time, source, destination, protocol, length, tcp_segment_len, tcp_delta, tcp_flags, tcp_ack, tcp_seq, tcp_window_size, info
4,3,0,1990,3.044094,"192.168.10.184","192.168.10.196",6,1514,1460,0.000000,0x0010,1,2684978,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
5,3,0,1991,3.044095,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,2686438,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
6,3,1,1992,3.044096,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,2687898,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
3,3,0,1993,3.044096,"192.168.10.184","192.168.10.196",6,1514,1460,0.000000,0x0010,1,2689358,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
4,3,0,1994,3.044097,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,2690818,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
5,3,0,1995,3.044098,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,2692278,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
6,3,1,1996,3.044098,"192.168.10.184","192.168.10.196",6,1514,1460,0.000000,0x0010,1,2693738,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
3,3,0,1997,3.044099,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,2695198,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
4,3,0,1998,3.044100,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,2696658,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
5,3,0,1999,3.047868,"192.168.10.196","192.168.10.184",6,54,0,0.003768,0x0010,2533138,1,53248,"5201 → 52343 [ACK] Seq=1 Ack=2533138 Win=212992 Len=0"
6,3,0,2000,3.048067,"192.168.10.196","192.168.10.184",6,54,0,0.000199,0x0010,2543358,1,53248,"5201 → 52343 [ACK] Seq=1 Ack=2543358 Win=212992 Len=0"
